617,киноа молотая,г
618,кипяток,мл
619,кирш,г
620,кисель,г
621,кисель сухой,г
622,кисломолочный напиток Тан,мл
623,кишки,г
624,клейковина,г
625,клементины,г
626,кленовый сироп,мл
627,клубника,г
628,клубника в сиропе,г
629,клубника замороженная,г
630,"клубника, протертая с сахаром",г
631,клубника сушеная,г
632,клубничное варенье,г
633,клубничное желе,г
634,клубничное пюре,г
635,клубничный джем,г
636,клубничный джем густой,г
637,клубничный компот,мл
638,клубничный ликер,мл
639,клубничный сироп,мл
640,клюква,г
641,клюква вяленая,г
642,клюква замороженная,г
643,"клюква, протертая с сахаром",г
644,клюквенное варенье,г
645,клюквенный джем,г
646,клюквенный морс,мл
647,клюквенный сироп,мл
648,клюквенный соус,г
649,козлиная печень,г
650,козлятина молодая,г
651,кока-кола,мл
652,кокосовая вода,мл
653,кокосовая мука,г
654,кокосовая стружка,г
655,кокосовая стружка цветная,г
656,кокосовое масло,мл
657,кокосовое молоко,мл
658,кокосовые сливки,мл
659,кокосовый ликер,мл
660,кокосовый экстракт,мл
661,кокосы,г
662,кола,мл
663,колбаса,г
664,колбаса вареная,г
665,колбаса варено-копченая,г
666,колбаса копченая,г
667,колбаса кровяная,г
668,колбаса полукопченая,г
669,колбаса сырокопченая,г
670,колбаска свиная свежая (salsiccia),г
671,колбаски,г
672,колбаски для жарки,г
673,колбаски домашние,г
674,колбаски охотничьи,г
675,колбаски сырокопченые,г
676,компот,г
677,конопляное масло,мл
678,конопля семена,г
679,конфеты,г
680,конфеты M&M’s,г
681,конфеты жевательные лакричные,г
682,конфеты Коровка,г
683,конфеты Трюфель,г
684,конфитюр,г
685,конфитюрка,г
686,коньяк,мл
687,копчености,г
688,коренья,г
689,кориандр,г
690,кориандр зелень,г
691,кориандр молотый,г
692,кориандр семена,г
693,коринка,г
694,корица,г
695,корица молотая,г
696,корнишоны,г
697,корнишоны маринованые,г
698,корюшка,г
699,корюшка горячего копчения,г
700,кости,г
701,кости мозговые,г
702,кость сахарная,г
703,кофе в зернах,г
704,кофе зеленый,г
705,кофейные зерна в шоколаде,г
706,кофейный ликер,мл
707,кофейный ликер Kahlua,мл
708,кофейный напиток,мл
709,кофейный сироп,мл
710,кофейный экстракт,мл
711,кофе молотый,г
712,кофе растворимый,г
713,кофе свежесваренный,мл
714,кофе черный,мл
715,кофе эспрессо,мл
716,крабовое мясо,г
717,крабовые палочки,г
718,краб снежный,г
719,крабы,г
720,крапива,г
721,краситель-гель пищевой,г
722,краситель пищевой,г
723,краситель пищевой вишневый,г
724,краситель пищевой желтый,г
725,краситель пищевой зеленый,г
726,краситель пищевой красный,г
727,краситель пищевой оранжевый,г
728,краситель пищевой фиолетовый,г
729,краситель пищевой черный,г
730,красная смородина,г
731,"красная смородина, протертая с сахаром",г
732,красноперка,г
733,красносмородиновое варенье,г
734,красный винный соус,г
735,крахмал,г
736,креветки,г
737,креветки замороженные,г
738,креветки королевские,г
739,креветки очищенные,г
740,креветки очищенные в рассоле,г
741,креветки салатные,г
742,креветки сушеные,г
743,креветки тигровые,г
744,крекер,г
745,крекер соленый,г
746,крем заварной,г
747,крем заварной порошковый,г
748,крем-фреш,г
749,кресс-салат,г
750,кровь,мл
751,кролик,г
752,кролик тушка,г
753,кролик филе,г
754,кроличья печень,г
755,круассаны,шт.
756,крутоны мелкие,г
757,крыжовник,г
758,крыжовниковое варенье,г
759,кукуруза,г
760,кукуруза замороженная,г
761,кукуруза консервированная,г
762,кукуруза обжаренная кикос,г
763,кукурузная крупа,г
